seismic,seismoacoustic,shift,genergy,gpuls,gdenergy,gdpuls,hazard,nbumps,nbumps2,nbumps3,nbumps4,nbumps5,energy,class,log_genergy,log_gpuls,log_gdenergy,log_gdpuls,log_energy
0.0,1.0,0.0,13170,59,-77,-67,0.0,0,0,0,0,0,0,0,9.485696794737327,4.07753744390572,2.995732273553991,3.4011973816621555,0.0
0.0,1.0,0.0,8900,38,-83,-77,0.0,0,0,0,0,0,0,0,9.093806555720231,3.6375861597263857,2.6390573296152584,2.995732273553991,0.0
0.0,0.0,0.0,13250,32,-71,-79,0.0,0,0,0,0,0,0,0,9.491752831414368,3.4657359027997265,3.258096538021482,2.8903717578961645,0.0
0.0,0.0,0.0,11710,70,-72,-47,0.0,1,0,1,0,0,4000,0,9.368198456591763,4.248495242049359,3.2188758248682006,3.912023005428146,8.294299608857235
0.0,0.0,0.0,10640,62,-68,-43,0.0,0,0,0,0,0,0,0,9.272375762895635,4.127134385045092,3.367295829986474,3.9889840465642745,0.0
0.0,0.0,0.0,45630,155,49,52,0.0,0,0,0,0,0,0,0,10.728320673921449,5.043425116919247,4.983606621708336,5.003946305945459,0.0
0.0,0.0,1.0,424650,1069,1,7,0.0,2,0,2,0,0,6000,0,12.959020579208156,6.974478911025045,4.584967478670572,4.6443908991413725,8.699681400989514
0.0,0.0,0.0,38820,213,-82,-57,0.0,1,0,1,0,0,4000,0,10.566690856723001,5.3612921657094255,2.70805020110221,3.6888794541139363,8.294299608857235
0.0,0.0,0.0,56960,200,-70,-58,0.0,0,0,0,0,0,0,0,10.950104546085857,5.298317366548036,3.295836866004329,3.6635616461296463,0.0
0.0,0.0,1.0,212260,729,-50,-28,0.0,2,1,1,0,0,1400,0,12.265567217315814,6.591673732008658,3.8501476017100584,4.23410650459726,7.244941546337007
0.0,0.0,0.0,42950,172,-76,-61,0.0,1,0,1,0,0,6000,0,10.667791927412402,5.147494476813453,3.044522437723423,3.58351893845611,8.699681400989514
0.0,0.0,1.0,172290,437,-57,-55,0.0,1,1,0,0,0,600,0,12.056934382526451,6.07993319509559,3.6888794541139363,3.7376696182833684,6.398594934535208
0.0,0.0,1.0,395110,1043,46,40,0.0,3,0,3,0,0,6000,0,12.886919486127278,6.949856455000773,4.962844630259907,4.919980925828125,8.699681400989514
0.0,0.0,0.0,51320,239,11,23,0.0,1,0,1,0,0,6000,0,10.845835818729572,5.476463551931511,4.68213122712422,4.787491742782046,8.699681400989514
0.0,0.0,1.0,144880,361,-46,-52,0.0,1,0,1,0,0,2000,0,11.883661092557295,5.8888779583328805,3.9318256327243257,3.8066624897703196,7.601402334583733
0.0,0.0,1.0,477750,1132,86,60,0.0,3,3,0,0,0,1500,0,13.07684286210252,7.0317412587631285,5.209486152841421,5.056245805348308,7.313886831633462
0.0,0.0,0.0,71840,255,54,28,0.0,1,0,1,0,0,6000,0,11.182196702976082,5.541263545158426,5.017279836814924,4.8283137373023015,8.699681400989514
0.0,0.0,1.0,127360,351,-54,-53,0.0,1,1,0,0,0,700,1,11.75477300107821,5.860786223465865,3.7612001156935624,3.784189633918261,6.55250788703459
0.0,0.0,1.0,514800,1369,95,94,0.0,7,4,2,1,0,15700,0,13.151533754704108,7.221835825288449,5.2574953720277815,5.25227342804663,9.661479683575521
0.0,0.0,0.0,69440,266,41,30,0.0,0,0,0,0,0,0,0,11.148218349334233,5.583496308781699,4.927253685157205,4.844187086458591,0.0
0.0,0.0,0.0,28460,117,-45,-45,0.0,0,0,0,0,0,0,0,10.256254871643844,4.762173934797756,3.9512437185814275,3.9512437185814275,0.0
0.0,0.0,0.0,23220,112,-53,-45,0.0,0,0,0,0,0,0,0,10.052769255251883,4.718498871295094,3.784189633918261,3.9512437185814275,0.0
0.0,0.0,0.0,16630,81,-65,-59,0.0,0,0,0,0,0,0,0,9.718963572186974,4.394449154672439,3.4657359027997265,3.6375861597263857,0.0
0.0,0.0,0.0,8750,47,-80,-75,0.0,0,0,0,0,0,0,0,9.07680897935166,3.8501476017100584,2.833213344056216,3.091042453358316,0.0
0.0,0.0,0.0,20150,64,-51,-62,0.0,1,0,1,0,0,5000,0,9.91095956737483,4.1588830833596715,3.828641396489095,3.5553480614894135,8.517393171418904
0.0,0.0,0.0,15590,82,-59,-48,0.0,0,0,0,0,0,0,0,9.654384962051822,4.406719247264253,3.6375861597263857,3.8918202981106265,0.0
0.0,0.0,1.0,102720,265,-64,-66,0.0,2,1,1,0,0,2700,0,11.539762118923788,5.579729825986222,3.4965075614664802,3.4339872044851463,7.901377353792616
0.0,0.0,1.0,250030,687,-8,-5,0.0,0,0,0,0,0,0,0,12.429336189644959,6.532334292222349,4.48863636973214,4.5217885770490405,0.0
0.0,0.0,0.0,39510,204,12,40,0.0,1,0,1,0,0,5000,0,10.584309083405437,5.318119993844216,4.6913478822291435,4.919980925828125,8.517393171418904
0.0,1.0,0.0,64200,198,86,35,0.0,1,1,0,0,0,500,0,11.069758489678053,5.288267030694535,5.209486152841421,4.882801922586371,6.2166061010848646
0.0,1.0,1.0,309010,983,15,38,1.0,2,1,1,0,0,1800,0,12.641128917815776,6.890609120147166,4.718498871295094,4.90527477843843,7.496097345175956
0.0,1.0,0.0,59060,264,65,85,1.0,1,0,1,0,0,6000,0,10.986309155297914,5.575949103146316,5.087596335232384,5.204006687076795,8.699681400989514
0.0,1.0,0.0,66510,215,93,50,1.0,1,1,0,0,0,300,0,11.105107591278466,5.3706380281276624,5.247024072160486,4.990432586778736,5.707110264748875
0.0,1.0,1.0,248900,739,-9,0,1.0,1,1,0,0,0,400,0,12.424806488355683,6.6052979209482015,4.477336814478207,4.574710978503383,5.993961427306569
0.0,1.0,0.0,51620,186,51,34,0.0,1,0,1,0,0,7000,0,10.851664473272605,5.225746673713202,4.997212273764115,4.875197323201151,8.853808274977197
0.0,1.0,0.0,45150,140,24,-4,0.0,0,0,0,0,0,0,0,10.717745558845131,4.941642422609304,4.795790545596741,4.532599493153256,0.0
0.0,1.0,0.0,60460,191,56,29,0.0,0,0,0,0,0,0,0,11.00973726833345,5.25227342804663,5.030437921392435,4.836281906951478,0.0
0.0,0.0,0.0,18330,91,-57,-43,0.0,1,0,1,0,0,4000,0,9.816294340833752,4.51085950651685,3.6888794541139363,3.9889840465642745,8.294299608857235
0.0,0.0,0.0,50580,134,15,-18,0.0,0,0,0,0,0,0,0,10.831311520223956,4.897839799950911,4.718498871295094,4.3694478524670215,0.0
0.0,0.0,1.0,269070,767,-1,4,0.0,2,2,0,0,0,800,0,12.502726847780158,6.642486801367256,4.564348191467836,4.61512051684126,6.68586094706836
0.0,0.0,0.0,37360,171,-21,0,0.0,1,0,1,0,0,4000,0,10.528355892342779,5.14166355650266,4.330733340286331,4.574710978503383,8.294299608857235
0.0,0.0,1.0,372770,975,37,32,0.0,3,3,0,0,0,1400,0,12.828716886452515,6.882437470997847,4.897839799950911,4.859812404361672,7.244941546337007
0.0,0.0,0.0,44180,203,-10,13,0.0,0,0,0,0,0,0,0,10.696027476974109,5.313205979041787,4.465908118654584,4.700480365792417,0.0
0.0,0.0,0.0,32070,138,-36,-23,0.0,0,0,0,0,0,0,0,10.375676292687201,4.927253685157205,4.110873864173311,4.30406509320417,0.0
0.0,0.0,0.0,31540,121,-32,-30,0.0,0,0,0,0,0,0,0,10.359011860517029,4.795790545596741,4.174387269895637,4.204692619390966,0.0
0.0,0.0,0.0,46380,133,6,-16,0.0,1,0,1,0,0,5000,0,10.744623610809523,4.890349128221754,4.634728988229636,4.394449154672439,8.517393171418904
0.0,0.0,0.0,18160,78,-57,-48,0.0,0,0,0,0,0,0,0,9.806976652155285,4.356708826689592,3.6888794541139363,3.8918202981106265,0.0
0.0,0.0,0.0,147520,472,-2,-6,0.0,0,0,0,0,0,0,0,11.901719038790421,6.156978985585555,4.553876891600541,4.51085950651685,0.0
0.0,0.0,1.0,202640,588,-33,-41,0.0,2,1,1,0,0,4300,0,12.219186284675557,6.376726947898627,4.1588830833596715,4.02535169073515,8.366602832783736
0.0,0.0,1.0,259110,1409,-11,46,0.0,1,1,0,0,0,900,0,12.46500796094244,7.25063551189868,4.454347296253507,4.962844630259907,6.803505257608338
0.0,0.0,0.0,40210,193,-71,-59,0.0,1,0,1,0,0,5000,0,10.60187099989132,5.262690188904886,3.258096538021482,3.6375861597263857,8.517393171418904
0.0,0.0,0.0,59210,175,-54,-61,0.0,0,0,0,0,0,0,0,10.988845725525822,5.1647859739235145,3.7612001156935624,3.58351893845611,0.0
0.0,0.0,1.0,590510,1780,23,-6,0.0,1,1,0,0,0,800,0,13.288741849277178,7.484368643286131,4.787491742782046,4.51085950651685,6.68586094706836
0.0,0.0,0.0,75930,305,-38,-27,0.0,1,0,1,0,0,6000,0,11.23756714220728,5.720311776607412,4.07753744390572,4.248495242049359,8.699681400989514
0.0,0.0,0.0,73030,240,25,7,0.0,0,0,0,0,0,0,0,11.198625594614155,5.480638923341991,4.804021044733257,4.6443908991413725,0.0
0.0,0.0,1.0,317360,1068,-36,-44,0.0,0,0,0,0,0,0,0,12.667792055188212,6.97354301952014,4.110873864173311,3.970291913552122,0.0
0.0,0.0,1.0,227990,734,-52,-59,0.0,2,1,1,0,0,4300,0,12.337057047325592,6.598509028614515,3.8066624897703196,3.6375861597263857,8.366602832783736
0.0,0.0,0.0,96080,433,60,92,0.0,0,0,0,0,0,0,0,11.472936456753866,6.07073772800249,5.056245805348308,5.241747015059643,0.0
0.0,0.0,1.0,210960,773,-44,-35,0.0,1,0,1,0,0,5000,0,12.259423821027168,6.650279048587422,3.970291913552122,4.127134385045092,8.517393171418904
0.0,0.0,0.0,24900,159,-57,-29,0.0,0,0,0,0,0,0,0,10.1226230824528,5.0689042022202315,3.6888794541139363,4.219507705176107,0.0
0.0,0.0,1.0,302440,1250,-16,9,0.0,2,2,0,0,0,600,0,12.619638189672207,7.1308988302963465,4.394449154672439,4.663439094112067,6.398594934535208
0.0,0.0,0.0,46160,250,-16,15,0.0,1,0,1,0,0,6000,0,10.739868901181982,5.521460917862246,4.394449154672439,4.718498871295094,8.699681400989514
0.0,1.0,1.0,436650,1232,23,6,0.0,0,0,0,0,0,0,0,12.986887237841879,7.116394144093465,4.787491742782046,4.634728988229636,0.0
0.0,1.0,0.0,58230,279,8,27,0.0,0,0,0,0,0,0,0,10.972155964831165,5.631211781821365,4.653960350157523,4.820281565605037,0.0
0.0,1.0,0.0,36380,222,-32,-2,0.0,1,0,1,0,0,4000,0,10.501774452072114,5.402677381872279,4.174387269895637,4.553876891600541,8.294299608857235
0.0,1.0,1.0,169370,644,-53,-45,0.0,0,0,0,0,0,0,0,12.039840949885168,6.467698726104354,3.784189633918261,3.9512437185814275,0.0
0.0,1.0,0.0,96600,383,87,70,0.0,0,0,0,0,0,0,0,11.47833402020061,5.948034989180646,5.214935757608986,5.117993812416755,0.0
0.0,0.0,1.0,233810,839,-31,-24,0.0,0,0,0,0,0,0,0,12.362264098705085,6.732210706467206,4.189654742026425,4.290459441148391,0.0
0.0,0.0,1.0,149050,697,-54,-35,0.0,1,0,1,0,0,6000,0,11.912037099106218,6.546785410760524,3.7612001156935624,4.127134385045092,8.699681400989514
0.0,0.0,0.0,63550,325,15,35,0.0,0,0,0,0,0,0,0,11.0595822766176,5.783825182329737,4.718498871295094,4.882801922586371,0.0
0.0,0.0,1.0,194580,697,-35,-32,0.0,0,0,0,0,0,0,0,12.17859866852942,6.546785410760524,4.127134385045092,4.174387269895637,0.0
0.0,0.0,0.0,46020,267,-18,6,0.0,1,0,1,0,0,5000,0,10.736831363589356,5.58724865840025,4.3694478524670215,4.634728988229636,8.517393171418904
0.0,0.0,0.0,104390,331,91,29,0.0,0,0,0,0,0,0,0,11.555889164402345,5.802118375377063,5.236441962829949,4.836281906951478,0.0
0.0,0.0,1.0,285750,791,1,-19,0.0,0,0,0,0,0,0,0,12.562872581657057,6.673297967767654,4.584967478670572,4.356708826689592,0.0
0.0,0.0,0.0,26510,106,-55,-60,0.0,0,0,0,0,0,0,0,10.18527729928307,4.663439094112067,3.7376696182833684,3.6109179126442243,0.0
0.0,0.0,0.0,25580,120,-54,-53,0.0,1,0,1,0,0,6000,0,10.149566075132833,4.787491742782046,3.7612001156935624,3.784189633918261,8.699681400989514
0.0,0.0,1.0,298230,916,9,-2,0.0,0,0,0,0,0,0,0,12.6056202798743,6.82001636467413,4.663439094112067,4.553876891600541,0.0
0.0,0.0,0.0,39040,231,-26,-5,0.0,1,0,1,0,0,5000,0,10.57234204052703,5.442417710521793,4.2626798770413155,4.5217885770490405,8.517393171418904
0.0,0.0,0.0,54990,182,1,-28,0.0,0,0,0,0,0,0,0,10.91490662950186,5.204006687076795,4.584967478670572,4.23410650459726,0.0
0.0,0.0,1.0,172120,537,-35,-41,0.0,0,0,0,0,0,0,0,12.055947186952537,6.285998094508865,4.127134385045092,4.02535169073515,0.0
0.0,0.0,0.0,25280,158,-54,-35,0.0,1,0,1,0,0,4000,0,10.137768848260794,5.062595033026967,3.7612001156935624,4.127134385045092,8.294299608857235
0.0,0.0,1.0,270040,717,10,-14,0.0,2,2,0,0,0,800,0,12.506325375155807,6.57507584059962,4.672828834461906,4.418840607796598,6.68586094706836
0.0,0.0,0.0,41120,132,-21,-43,0.0,0,0,0,0,0,0,0,10.624249900129048,4.882801922586371,4.330733340286331,3.9889840465642745,0.0
0.0,0.0,0.0,22710,68,-57,-70,0.0,0,0,0,0,0,0,0,10.030560635099604,4.219507705176107,3.6888794541139363,3.295836866004329,0.0
0.0,0.0,0.0,13160,46,-71,-76,0.0,0,0,0,0,0,0,0,9.484937204879309,3.828641396489095,3.258096538021482,3.044522437723423,0.0
0.0,0.0,0.0,19500,80,-51,-51,0.0,1,0,1,0,0,4000,0,9.878169744551839,4.382026634673881,3.828641396489095,3.828641396489095,8.294299608857235
0.0,0.0,0.0,12970,53,-65,-64,0.0,0,0,0,0,0,0,0,9.47039427731049,3.970291913552122,3.4657359027997265,3.4965075614664802,0.0
0.0,0.0,1.0,166700,363,-34,-56,0.0,0,0,0,0,0,0,0,12.023951068738885,5.8944028342648505,4.143134726391533,3.713572066704308,0.0
0.0,0.0,1.0,274170,997,15,34,0.0,0,0,0,0,0,0,0,12.521503630934356,6.904750769961838,4.718498871295094,4.875197323201151,0.0
0.0,1.0,0.0,56120,222,100,89,0.0,1,0,1,0,0,5000,0,10.935247534216398,5.402677381872279,5.2832037287379885,5.225746673713202,8.517393171418904
0.0,1.0,1.0,226790,717,2,0,0.0,0,0,0,0,0,0,0,12.331779758152908,6.57507584059962,4.59511985013459,4.574710978503383,0.0
0.0,1.0,1.0,134640,611,-41,-16,0.0,0,0,0,0,0,0,0,11.810359828864687,6.415096959171596,4.02535169073515,4.394449154672439,0.0
0.0,1.0,0.0,49910,208,61,61,0.0,1,0,1,0,0,3000,0,10.817976662463655,5.337538079701318,5.062595033026967,5.062595033026967,8.006700845440367
0.0,1.0,1.0,328050,707,51,0,0.0,1,1,0,0,0,200,0,12.700921314773023,6.561030665896573,4.997212273764115,4.574710978503383,5.303304908059076
0.0,1.0,1.0,140090,380,-40,-46,0.0,0,0,0,0,0,0,0,11.85004035219016,5.940171252720432,4.04305126783455,3.9318256327243257,0.0
0.0,0.0,0.0,42820,150,28,9,0.0,1,0,1,0,0,3000,0,10.664760562143673,5.0106352940962555,4.8283137373023015,4.663439094112067,8.006700845440367
0.0,0.0,1.0,157740,440,-31,-35,0.0,0,0,0,0,0,0,0,11.968703386951981,6.0867747269123065,4.189654742026425,4.127134385045092,0.0
0.0,0.0,1.0,325750,1068,50,67,0.0,1,0,1,0,0,3000,0,12.693885494987091,6.97354301952014,4.990432586778736,5.099866427824199,8.006700845440367
0.0,0.0,1.0,300520,894,37,37,0.0,0,0,0,0,0,0,0,12.613269586483097,6.795705775173514,4.897839799950911,4.897839799950911,0.0
0.0,0.0,1.0,465730,1325,-7,-12,0.0,1,0,1,0,0,4000,0,13.051361346049605,7.1891677384203225,4.499809670330265,4.442651256490317,8.294299608857235
0.0,0.0,1.0,336600,984,-32,-34,0.0,1,0,1,0,0,4000,0,12.726650560738843,6.891625897052253,4.174387269895637,4.143134726391533,8.294299608857235
0.0,0.0,0.0,112300,263,-55,-65,0.0,0,0,0,0,0,0,0,11.628929140726534,5.572154032177765,3.7376696182833684,3.4657359027997265,0.0
0.0,0.0,1.0,951410,1332,98,-7,0.0,0,0,0,0,0,0,0,13.765700373751232,7.194436851100335,5.272999558563747,4.499809670330265,0.0
0.0,0.0,0.0,203850,476,-14,-32,0.0,1,0,1,0,0,3000,0,12.225139708247399,6.16541785423142,4.418840607796598,4.174387269895637,8.006700845440367
0.0,0.0,1.0,715390,1923,36,36,0.0,1,1,0,0,0,300,0,13.480583127515342,7.56164174558878,4.890349128221754,4.890349128221754,5.707110264748875
0.0,0.0,0.0,160350,828,-31,23,0.0,0,0,0,0,0,0,0,11.9851142051213,6.71901315438526,4.189654742026425,4.787491742782046,0.0
0.0,0.0,0.0,76150,260,-52,-50,0.0,1,0,1,0,0,4000,0,11.240460358323308,5.560681631015528,3.8066624897703196,3.8501476017100584,8.294299608857235
0.0,0.0,1.0,373180,1246,-32,-14,0.0,1,0,1,0,0,2000,0,12.82981615595124,7.1276936993473985,4.174387269895637,4.418840607796598,7.601402334583733
0.0,0.0,1.0,481630,1678,-10,17,0.0,0,0,0,0,0,0,0,13.084931463395463,7.425357887027151,4.465908118654584,4.736198448394496,0.0
0.0,0.0,1.0,620720,1789,17,23,0.0,0,0,0,0,0,0,0,13.338635373567831,7.489412083508719,4.736198448394496,4.787491742782046,0.0
0.0,0.0,0.0,99160,514,-34,4,0.0,1,0,1,0,0,4000,0,11.504489986149126,6.2422232654551655,4.143134726391533,4.61512051684126,8.294299608857235
0.0,0.0,0.0,280830,689,94,39,0.0,1,0,1,0,0,3000,0,12.5455047830339,6.535241271013659,5.25227342804663,4.912654885736052,8.006700845440367
0.0,0.0,1.0,557230,1642,2,11,0.0,0,0,0,0,0,0,0,13.230733360070163,7.403670290012373,4.59511985013459,4.68213122712422,0.0
0.0,0.0,0.0,65800,259,-58,-49,0.0,1,0,1,0,0,4000,0,11.094375117313408,5.556828061699537,3.6635616461296463,3.871201010907891,8.294299608857235
0.0,0.0,0.0,270490,865,83,78,0.0,0,0,0,0,0,0,0,12.50799040800861,6.762729506931879,5.19295685089021,5.1647859739235145,0.0
0.0,0.0,1.0,307540,1020,-44,-32,0.0,0,0,0,0,0,0,0,12.636360439069684,6.927557906278317,3.970291913552122,4.174387269895637,0.0
0.0,0.0,0.0,51230,222,-68,-57,0.0,1,0,1,0,0,3000,0,10.844080576933248,5.402677381872279,3.367295829986474,3.6888794541139363,8.006700845440367
0.0,0.0,1.0,314100,904,-41,-37,0.0,0,0,0,0,0,0,0,12.657466685526737,6.806829360392176,4.02535169073515,4.0943445622221,0.0
0.0,0.0,1.0,368340,1325,-28,-4,0.0,1,0,1,0,0,2000,0,12.816761703649597,7.1891677384203225,4.23410650459726,4.532599493153256,7.601402334583733
0.0,0.0,0.0,114540,488,-23,0,0.0,2,0,2,0,0,8000,0,11.648679385947847,6.1903154058531475,4.30406509320417,4.574710978503383,8.987321812850125
0.0,0.0,1.0,316200,1089,-37,-21,0.0,3,1,2,0,0,2700,0,12.664130203757509,6.9930151229329605,4.0943445622221,4.330733340286331,7.901377353792616
0.0,0.0,0.0,209760,919,46,89,0.0,0,0,0,0,0,0,0,12.253719298997527,6.823286122355687,4.962844630259907,5.225746673713202,0.0
0.0,0.0,0.0,46300,197,-69,-63,0.0,1,0,1,0,0,5000,0,10.742897240074326,5.2832037287379885,3.332204510175204,3.5263605246161616,8.517393171418904
0.0,0.0,1.0,372380,1264,-26,-9,0.0,0,0,0,0,0,0,0,12.827670117250044,7.142036574706803,4.2626798770413155,4.477336814478207,0.0
0.0,0.0,0.0,47830,264,-65,-47,0.0,1,0,1,0,0,3000,0,10.775408336674342,5.575949103146316,3.4657359027997265,3.912023005428146,8.006700845440367
0.0,0.0,1.0,396530,1209,-10,-13,0.0,1,0,1,0,0,6000,0,12.890506979237687,7.097548850614793,4.465908118654584,4.430816798843313,8.699681400989514
0.0,0.0,0.0,87740,357,-30,-24,0.0,0,0,0,0,0,0,0,11.382133174720204,5.877735781779639,4.204692619390966,4.290459441148391,0.0
0.0,0.0,0.0,74570,308,-41,-35,0.0,2,0,2,0,0,4000,0,11.21949356053784,5.730099782973574,4.02535169073515,4.127134385045092,8.294299608857235
0.0,0.0,0.0,37490,224,-70,-51,0.0,0,0,0,0,0,0,0,10.531829509729958,5.4116460518550396,3.295836866004329,3.828641396489095,0.0
0.0,0.0,1.0,303610,1034,-26,-21,0.0,0,0,0,0,0,0,0,12.623499262037582,6.9411900550683745,4.2626798770413155,4.330733340286331,0.0
0.0,0.0,1.0,278230,1060,-31,-18,0.0,1,1,0,0,0,900,0,12.536203388746731,6.966024187106113,4.189654742026425,4.3694478524670215,6.803505257608338
0.0,0.0,0.0,64930,273,-35,-33,0.0,1,0,1,0,0,5000,0,11.081065045502532,5.60947179518496,4.127134385045092,4.1588830833596715,8.517393171418904
0.0,0.0,1.0,498960,1447,30,17,0.0,1,1,0,0,0,900,0,13.120281211200004,7.277247726631484,4.844187086458591,4.736198448394496,6.803505257608338
0.0,0.0,1.0,443740,1321,20,10,0.0,0,0,0,0,0,0,0,13.002994084306573,7.186144304522325,4.762173934797756,4.672828834461906,0.0
0.0,0.0,0.0,39620,195,-61,-53,0.0,1,0,1,0,0,4000,0,10.587089320252542,5.272999558563747,3.58351893845611,3.784189633918261,8.294299608857235
0.0,0.0,1.0,788230,1484,-1,-1,0.0,0,0,0,0,0,0,0,13.577545204424458,7.302496423727326,4.564348191467836,4.564348191467836,0.0
0.0,0.0,0.0,119460,269,-70,-64,0.0,0,0,0,0,0,0,0,11.690736866286297,5.594711379601839,3.295836866004329,3.4965075614664802,0.0
0.0,0.0,0.0,65100,172,-82,-75,0.0,1,0,1,0,0,3000,0,11.08367982819666,5.147494476813453,2.70805020110221,3.091042453358316,8.006700845440367
0.0,1.0,1.0,1049580,1807,31,21,0.0,0,0,0,0,0,0,0,13.863900642112366,7.499423290592229,4.852030263919617,4.770684624465665,0.0
0.0,1.0,1.0,715540,1471,-13,-4,0.0,2,2,0,0,0,900,1,13.480792781377584,7.293697720601438,4.430816798843313,4.532599493153256,6.803505257608338
0.0,1.0,0.0,92520,169,-73,-74,0.0,1,0,0,1,0,10000,1,11.435180116345375,5.1298987149230735,3.1780538303479458,3.1354942159291497,9.210440366976517
1.0,2.0,1.0,974430,1828,20,20,0.0,2,1,0,1,0,20600,0,13.789607963641163,7.510977752014095,4.762173934797756,4.762173934797756,9.933094897288786
1.0,2.0,1.0,696470,1368,-16,-12,0.0,2,1,1,0,0,2400,0,13.453779998768967,7.221105098182496,4.394449154672439,4.442651256490317,7.783640596221253
1.0,2.0,0.0,61620,195,-33,-4,0.0,1,0,1,0,0,3000,0,11.028741772150658,5.272999558563747,4.1588830833596715,4.532599493153256,8.006700845440367
0.0,2.0,1.0,1124850,2153,37,39,0.0,3,1,2,0,0,3900,0,13.933160251397645,7.674617497364363,4.897839799950911,4.912654885736052,8.268988209506656
0.0,1.0,1.0,640820,1235,-25,-23,0.0,1,0,1,0,0,5000,0,13.3705038852355,7.118826249062078,4.276666119016055,4.30406509320417,8.517393171418904
0.0,1.0,1.0,1096910,2037,31,29,0.0,2,1,1,0,0,3700,0,13.9080076939592,7.619233416226805,4.852030263919617,4.836281906951478,8.216358332386156
0.0,1.0,0.0,155540,363,74,79,0.0,0,0,0,0,0,0,0,11.954658212248935,5.8944028342648505,5.14166355650266,5.170483995038151,0.0
0.0,1.0,1.0,722590,2125,-17,30,0.0,2,0,2,0,0,5000,0,13.49059725868489,7.661527081358517,4.382026634673881,4.844187086458591,8.517393171418904
0.0,1.0,1.0,582700,1232,-32,-28,0.0,1,0,1,0,0,7000,0,13.275427753131165,7.116394144093465,4.174387269895637,4.23410650459726,8.853808274977197
0.0,1.0,1.0,691310,1416,-14,-6,0.0,0,0,0,0,0,0,0,13.446343627328515,7.255591274253665,4.418840607796598,4.51085950651685,0.0
0.0,1.0,1.0,698810,1279,-11,-14,0.0,3,0,3,0,0,8000,0,13.457134167385783,7.153833801578843,4.454347296253507,4.418840607796598,8.987321812850125
0.0,1.0,0.0,94110,314,-76,-58,0.0,0,0,0,0,0,0,0,11.452219589852833,5.749392985908253,3.044522437723423,3.6635616461296463,0.0
0.0,0.0,1.0,716630,1677,-8,14,0.0,2,2,0,0,0,700,0,13.482314947336178,7.424761761823209,4.48863636973214,4.709530201312334,6.55250788703459
